id,osm_id,amenity,name,lon,lat
1,625828556,bank,First National Bank,18.86089,-33.9372448
2,625828557,atm,First National Bank,18.8609328,-33.9372096
3,629532073,bank,Capitec Bank,18.8592606,-33.931715
4,1167157616,atm,,18.8560731,-33.9401642
5,1202902856,bank,,18.8507044,-33.9182677
6,1829057833,bank,African Bank,18.7258943,-34.0011701
7,1829057870,atm,Standard Bank,18.7263825,-34.0009699
8,1829710742,bank,ABSA,18.7280337,-34.0052042
9,2666660482,atm,,18.8582146,-33.902283
10,3170456092,atm,ABSA,18.8426973,-33.9775696
11,3228810752,atm,,18.8542447,-33.9222983
12,3228810753,atm,,18.8545397,-33.9231218
13,3684068825,bank,ABSA,18.8521143,-33.9444857
14,6074242045,atm,Standard Bank,18.8784879,-33.9259124
15,6074242054,atm,ABSA,18.8778468,-33.9264043
16,6074242063,atm,Capitec,18.8784503,-33.926224
17,6401811386,atm,Standard Bank,18.8517904,-33.9438739
18,6635606633,atm,ABSA,18.8626236,-33.9367694
19,6635622205,atm,,18.8655409,-33.9326303
20,7312103742,bank,ABSA,18.862496,-33.9367324
