full_id,osm_id,amenity,name,cuisine,POINT_X,POINT_Y,,,,,,,,,,,,,,,,,,,,,,,
1,458716739,restaurant,Rozendal Restaurant,,18.8964666,-33.9312487,,,,,,,,,,,,,,,,,,,,,,,
2,535213066,restaurant,96 Winery Road,regional,18.8087371,-34.0279039,,,,,,,,,,,,,,,,,,,,,,,
3,535230859,restaurant,Zevenwacht,regional,18.7272315,-33.9301853,,,,,,,,,,,,,,,,,,,,,,,
4,535230871,restaurant,Hillcrest Berry Farm,regional,18.9430866,-33.9104559,,,,,,,,,,,,,,,,,,,,,,,
5,540737136,restaurant,Jonkershoek Restaurant,regional,18.9348015,-33.9686060,,,,,,,,,,,,,,,,,,,,,,,
6,571360862,restaurant,Asami's Stellenbosch,,18.8515349,-33.9625871,,,,,,,,,,,,,,,,,,,,,,,
7,571360873,restaurant,Bossa Cafe,,18.8513847,-33.9627918,,,,,,,,,,,,,,,,,,,,,,,
8,571420668,restaurant,Longridge,regional,18.8332827,-34.0153195,,,,,,,,,,,,,,,,,,,,,,,
9,625828548,restaurant,Simply Asia,asian,18.8542834,-33.9399286,,,,,,,,,,,,,,,,,,,,,,,
10,625828550,restaurant,Genki,japanese,18.8606676,-33.9375029,,,,,,,,,,,,,,,,,,,,,,,
11,625828551,restaurant,Kauai,regional,18.8604880,-33.9376090,,,,,,,,,,,,,,,,,,,,,,,
12,625828552,restaurant,Greengate Deli,,18.8605574,-33.9377305,,,,,,,,,,,,,,,,,,,,,,,
13,625828554,restaurant,Wijnhuis,regional,18.8610207,-33.9378080,,,,,,,,,,,,,,,,,,,,,,,
14,625828555,restaurant,Wakaberry,ice_cream,18.8610082,-33.9381256,,,,,,,,,,,,,,,,,,,,,,,
15,768411401,restaurant,Gino's,italian,18.8548142,-33.9406249,,,,,,,,,,,,,,,,,,,,,,,
16,769054394,restaurant,Bootleggers,pizza,18.8627890,-33.9374276,,,,,,,,,,,,,,,,,,,,,,,
17,769054410,restaurant,Basic Bistro,,18.8619402,-33.9380421,,,,,,,,,,,,,,,,,,,,,,,
18,769054431,restaurant,The Chalk Board,coffee_shop;sandwich,18.8654350,-33.9295794,,,,,,,,,,,,,,,,,,,,,,,
19,769054433,restaurant,Java,,18.8614475,-33.9380903,,,,,,,,,,,,,,,,,,,,,,,
20,866273871,restaurant,Decameron,,18.8632984,-33.9367806,,,,,,,,,,,,,,,,,,,,,,,
21,975944716,restaurant,De Ouwe Klok,,18.7985357,-33.9654234,,,,,,,,,,,,,,,,,,,,,,,
22,1027802215,restaurant,Delaire Graff Estate,,18.9227094,-33.9217960,,,,,,,,,,,,,,,,,,,,,,,
23,1240850962,restaurant,Ons Genot,,18.7940081,-33.8785908,,,,,,,,,,,,,,,,,,,,,,,
24,1256738049,restaurant,Hazendal,,18.7195951,-33.9004402,,,,,,,,,,,,,,,,,,,,,,,
25,1628114879,restaurant,Overture,regional,18.8525551,-34.0208194,,,,,,,,,,,,,,,,,,,,,,,
26,1700859507,restaurant,Barrique,,18.8077948,-33.9607440,,,,,,,,,,,,,,,,,,,,,,,
27,1809144327,restaurant,Helderberg Farm,,18.8341835,-34.0325892,,,,,,,,,,,,,,,,,,,,,,,
28,1920527196,restaurant,EatWell,,18.8513071,-33.9443599,,,,,,,,,,,,,,,,,,,,,,,
29,2302169870,restaurant,Silk Road by Bethlaiem Cellar,,18.8602932,-33.9387038,,,,,,,,,,,,,,,,,,,,,,,
30,2503317289,restaurant,Mont Marie,,18.8721572,-33.9821958,,,,,,,,,,,,,,,,,,,,,,,
31,2583392500,restaurant,The Blue Crane and The Butterfly,coffee_shop,18.8604786,-33.9386915,,,,,,,,,,,,,,,,,,,,,,,
32,2666660484,restaurant,,,18.8578930,-33.9021429,,,,,,,,,,,,,,,,,,,,,,,
33,2687490397,restaurant,Binnenhof,pizza;regional,18.8631534,-33.9382573,,,,,,,,,,,,,,,,,,,,,,,
34,3170056685,restaurant,Raphael's,,18.8093989,-33.9428604,,,,,,,,,,,,,,,,,,,,,,,
35,3170070292,restaurant,Hudsons,regional,18.8084027,-33.9606505,,,,,,,,,,,,,,,,,,,,,,,
36,3170471158,restaurant,Guardian Peak,regional,18.8421716,-34.0111934,,,,,,,,,,,,,,,,,,,,,,,
37,3170476729,restaurant,Longtable,regional,18.8608988,-34.0039939,,,,,,,,,,,,,,,,,,,,,,,
38,3172154990,restaurant,Terroir,regional,18.8360144,-33.9705358,,,,,,,,,,,,,,,,,,,,,,,
39,3175446515,restaurant,Blaauwklippen,regional,18.8474590,-33.9731980,,,,,,,,,,,,,,,,,,,,,,,
40,3185472485,restaurant,Delheim,regional,18.8853908,-33.8695069,,,,,,,,,,,,,,,,,,,,,,,
41,3185474558,restaurant,CuvΓÇî├⌐e,international,18.8253061,-33.8700773,,,,,,,,,,,,,,,,,,,,,,,
42,3246101228,restaurant,Equus Restaurant @ Cavalli Estate,,18.8129215,-34.0099657,,,,,,,,,,,,,,,,,,,,,,,
43,3275318187,restaurant,Giovanni's @ Eikendal,italian,18.8233975,-34.0131610,,,,,,,,,,,,,,,,,,,,,,,
44,3280801593,restaurant,Beyerskloof Restaurant,regional,18.8233551,-33.8911264,,,,,,,,,,,,,,,,,,,,,,,
45,3683993375,restaurant,Hussar Grill,,18.8604964,-33.9372586,,,,,,,,,,,,,,,,,,,,,,,
46,4204394190,restaurant,The Wood Mill,,18.8278850,-33.9432135,,,,,,,,,,,,,,,,,,,,,,,
47,4330814792,restaurant,L'Auberge du Parysan Restaurant,,18.8087990,-34.0204850,,,,,,,,,,,,,,,,,,,,,,,
48,4510465126,restaurant,,,18.8227237,-34.0063983,,,,,,,,,,,,,,,,,,,,,,,
49,4680499692,restaurant,Jardine Restaurant,,18.8611733,-33.9385813,,,,,,,,,,,,,,,,,,,,,,,
50,4685822591,restaurant,Solms-Delta,,18.9896154,-33.8642727,,,,,,,,,,,,,,,,,,,,,,,
51,5172780268,restaurant,Skilpadvlei,regional,18.7678450,-33.9592329,,,,,,,,,,,,,,,,,,,,,,,
52,5549882423,restaurant,IzaΓÇÿs,,18.8574871,-33.9394523,,,,,,,,,,,,,,,,,,,,,,,
53,5814900854,restaurant,Glenelly,,18.8781292,-33.9169766,,,,,,,,,,,,,,,,,,,,,,,
54,5815796855,restaurant,Boschendal,,18.9690452,-33.8858063,,,,,,,,,,,,,,,,,,,,,,,
