full_id,osm_id,amenity,name,operator,school,POINT_X,POINT_Y
1,37867343,school,STELLENBOSCH HOËRSKOOL,,high_school,18.8810336,-33.9313823
2,59917608,school,Hoërskool Stellenbosch,,high_school,18.8795144,-33.9311453
3,59923737,school,,,,18.8815677,-33.9334132
4,59923769,school,Laerskool Stellenbosch,,primary,18.8808792,-33.9333937
5,59933206,school,Woodworking and metalworking workshops,Paul Roos Gymnasium,high_school,18.8617944,-33.9421876
6,59933226,school,Main Building,Paul Roos Gymnasium,high_school,18.8627029,-33.9416935
7,59934778,school,Paul Roos Gimnasium,,high_school,18.8626501,-33.9421844
8,101362716,school,Makapula High School,,high_school,18.8466550,-33.9176247
9,468540353,school,Cloetesville High School,,high_school,18.8523143,-33.9124914
10,468540356,school,RIETENBOSCH PRIMÊRE SKOOL,,primary,18.8573859,-33.9104525
11,469121570,school,CLOETESVILLE PRIMÊRE SKOOL,,primary,18.8533399,-33.9165773
12,469121573,school,DOROTHEA SPESIALE SKOOL,,special,18.8542236,-33.9106402
13,469121574,school,PIETER LANGEVELDT PRIMÊRE SKOOL,,primary,18.8520273,-33.9065533
14,469121582,school,,,,18.8846519,-33.9239269
15,469121583,school,Idas Valley Primary School,,primary,18.8834528,-33.9190321
16,469121584,school,Luckhoff High School,,high_school,18.8851403,-33.9188338
17,469121585,school,BRUCKNER DE VILLIERS PRIMÊRE SKOOL,,primary,18.8894452,-33.9199078
18,469126024,school,Kylemore Primary School,,primary,18.9542195,-33.9231867
19,469126031,school,Kylemore High School,,high_school,18.9563881,-33.9239982
20,730117277,school,Watsonia Primary School,,primary,18.7274353,-33.8675726
21,730117278,school,Bernadino Heights Secondary School,,secondary,18.7268437,-33.8663108
22,730117279,school,Cavalleria Primary School,,primary,18.7231791,-33.8642963
23,730117280,school,Scottsdene Secondary School,,secondary,18.7245287,-33.8608900
24,730117281,school,Scottsville High School,,high_school,18.7131112,-33.8539172
25,730117282,school,Petunia Primary School,,primary,18.7123765,-33.8519977
26,730117284,school,Parkdene Primary School,,primary,18.7238387,-33.8595314
27,732323966,school,Bottelary Primary School,,primary,18.7493431,-33.8881382
28,732323968,school,Destinatus Private School,,private,18.7151138,-33.9028388
29,736828649,school,Eersterivier Secondary School,,secondary,18.7308316,-34.0189397
30,736828650,school,Stratford Primary School,,primary,18.7275842,-34.0069221
31,736828651,school,Beverley Park Primary School,,primary,18.7345551,-34.0166398
32,736828661,school,Forest Heights High School,,high_school,18.7081696,-34.0023561
33,743230496,school,WALLACEDENE SECONDARY SCHOOL,,secondary,18.7399684,-33.8524898
34,743232666,school,HECTOR PETERSON SECONDARY SCHOOL,,secondary,18.7321100,-33.8593600
35,744555281,school,WALLACEDENE PRIMARY SCHOOL,,primary,18.7441269,-33.8520341
36,744711129,school,Imvumelwano Primary School,,primary,18.7308193,-33.8545811
37,744712081,school,ENKULULEKWENI PRIMARY SCHOOL,,primary,18.7348731,-33.8562149
38,744713353,school,"EAGLE'S NEST MINISTRIES, SA",,private,18.7435094,-33.8535473
39,746567900,school,NORTHPINE TECHNICAL HIGH SCHOOL,,technical,18.7074336,-33.8702660
40,746582658,school,KLEINVLEI SEKONDÊR,,secondary,18.7126487,-33.9883194
41,750020992,school,EIKENDAL PRIMARY SCHOOL,,primary,18.7162974,-33.8570926
42,750020993,school,Kraaifontein AME Primary,,primary,18.7151440,-33.8561030
43,750024136,school,SPURWING PRIMARY SCHOOL,,primary,18.7155251,-34.0182695
44,750031604,school,FOREST HEIGHTS PRIMARY SCHOOL,,primary,18.7088519,-34.0055919
45,750031605,school,Eerste Rivier Primary School,,primary,18.7072594,-34.0104291
46,750257524,school,HELDERKRUIN PRIMARY SCHOOL,,primary,18.7154465,-33.9878159
47,750257525,school,MELTON PRIMARY SCHOOL,,primary,18.7107175,-33.9897474
48,750257526,school,R.R. FRANKS PRIMÊRE SKOOL,,primary,18.7109407,-33.9851270
49,750460478,school,Bloemhof High School,,high_school,18.8570373,-33.9437939
50,750460486,school,Rhenish High School,,high_school,18.8580847,-33.9459355
51,750460489,school,Rhenish Primary School,,primary,18.8553058,-33.9470066
52,750460490,school,Laerskool Eikestad,,primary,18.8544565,-33.9451562
53,750645323,school,NORTHPINE PRIMARY SCHOOL,,primary,18.7129438,-33.8680560
54,750645324,school,BROOKLANDS PRIMARY SCHOOL,,primary,18.7170897,-33.8727580
55,751324772,school,PALM PARK PRIMARY SCHOOL,,primary,18.7198000,-33.9952722
56,751588442,school,ACADEMY PRIVATE SCHOOL,,private,18.7088886,-33.9287061
57,751610199,school,GIHON CHRISTIAN SCHOOL,,private,18.7172003,-34.0005264
58,764364426,school,ST. IDAS RK PRIMÊRE SKOOL,,primary,18.8791250,-33.9240728
59,764364427,school,STELLENZICHT SEKONDÊR,,secondary,18.8516819,-33.9839945
60,764367851,school,KAYAMANDI SECONDARY SCHOOL,,secondary,18.8484350,-33.9231806
61,764367852,school,A.F. LOUW LAERSKOOL,,primary,18.8577918,-33.9242793
62,764367853,school,WEBER GEDENK NGK PRIMÊRE SKOOL,,primary,18.8492708,-33.9834551
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
